P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_TYPE,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,HABITABILITY
OGLE-2016-BLG-1227L b,Microlensing,OGLE,2020,250.0,Mass,13.9,,3.4,,,,OGLE-2016-BLG-1227L,,,,,0.1,,,,,,4.2409446,17.985612,1.2939289,0.093088409,0.46157701,3.4,3.4,3.4,3.4,,,,Jovian,,,,,0.21413342,0,0,,0,,0
Kepler-829 b,Transit,Kepler,2016,5.1,M-R relationship,2.11,6.8833756,0.0678,0.0,89.82,,Kepler-829,,14.973,1073.76,5698.0,0.98,0.97,0.03,4.68,0.04,4.46,1.5546902,2.4170616,1.1455268,0.54290371,0.0011752483,0.0678,0.0678,0.0678,0.0678,238.52868,1001.1171,1130.6044,Superterran,G,1.0964782,2.8272471,1.7563169,0.45955889,0,0,Hot,0,0.25476271,0
K2-283 b,Transit,K2,2018,12.2,M-R relationship,3.52,1.921036,0.0291,,,,K2-283,,14.364,402.915,5060.0,0.89,0.82,0.28,,-0.524,4.56,1.8616952,3.4659091,0.98463326,0.27972536,0.00069662894,0.0291,0.0291,0.0291,0.0291,353.35726,1104.4682,,Neptunian,K,0.29922646,1.4769431,0.56837407,0.44375963,0,0,Hot,0,0.19390612,0
TOI-1260 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,13.2,Mass,2.76,7.493134,0.0657,0.0,87.97,0.0,TOI-1260,K6 V,11.922,73.5977,4227.0,0.68,0.67,-0.1,6.7,-0.889,4.57,2.1869176,4.7826087,1.7328292,0.62783668,0.0017661962,0.0657,0.0657,0.0657,0.0657,29.91364,595.75408,,Neptunian,K,0.12912193,0.97020557,0.1242103,0.43192361,0,0,Hot,0,0.26044049,0
HD 149143 b,Radial Velocity,Haute-Provence Observatory,2005,422.7139,Msini,13.6,4.07182,0.053,0.0167,,217.0,HD 149143,G0,7.89,73.2801,5856.0,1.2,1.44,0.29,4.28,0.35,4.25,5.5751147,31.081904,2.2854341,0.16804663,0.0036815914,0.053007391,0.0521149,0.0538851,0.053001848,797.0927,1353.4874,,Jovian,G,2.2387211,4.0398363,2.4649488,0.48438708,0,0,Hot,0,0.067319209,0
HD 99492 b,Radial Velocity,W. M. Keck Observatory,2004,25.5,Msini,5.44,17.0503,0.12,0.034,,154.3,HD 99492,K2 V,7.56727,18.2038,4929.0,0.85,0.82,0.3,4.8,-0.475,4.57,2.1650635,4.6875,0.86167279,0.15839573,0.0036028875,0.12006936,0.11592,0.12408,0.12001735,23.274946,559.40675,,Neptunian,K,0.33496544,1.5626574,0.44692616,0.44012025,0,0,Hot,0,0.18841577,0
75 Cet b,Radial Velocity,Okayama Astrophysical Observatory,2012,787.89662,Msini,13.3,696.62,1.912,0.093,,-157.6,75 Cet,G3 III,5.3532,82.9613,4809.0,1.92,10.38,0.1,,1.714,2.69,7.6967751,59.240347,4.4541615,0.33489936,0.128905,1.9202684,1.734184,2.089816,1.914073,14.220357,493.87889,,Jovian,G,51.760683,19.425122,0.4771582,0.57339188,0,0,Hot,0,0.13562122,0
TOI-4562 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,732.0,Mass,12.53,225.11781,0.768,0.76,89.06,60.0,TOI-4562,F7 V,12.14,339.605,6096.0,1.19,1.15,0.08,0.7,0.253,4.39,7.6432841,58.419792,4.6623937,0.37209846,0.015679989,0.9897984,0.18432,1.35168,0.83834061,4.6710617,321.83958,,Jovian,F,1.7906059,3.6129651,3.7124856,0.35720991,0,0,Hot,0,0.24327995,0
HIP 12961 b,Radial Velocity,La Silla Observatory,2010,114.4188,Msini,13.2,57.435,0.25,0.17,,272.0,HIP 12961,M0,10.25,23.371,3901.0,0.69,0.65,-0.14,,-1.003,4.65,2.9441622,8.6680909,0.65667355,0.049747996,0.011403009,0.2536125,0.2075,0.2925,0.25091181,1.6124565,285.48886,,Jovian,M,0.099311605,0.85087108,0.071291305,0.40766256,0,0,Hot,0,0.37027471,0
HD 29985 b,Radial Velocity,Multiple Observatories,2022,1739.4749,Mass,12.8,20608.14,13.39,0.261,52.658,89.414,HD 29985,,9.98,31.2707,4678.0,0.75,0.57,-0.22,,-0.846,4.79,11.657464,135.89647,10.616912,0.82944625,1.3101748,13.84607,9.89521,16.88479,13.506651,0.00082368107,42.591788,,Jovian,K,0.14256076,1.0194449,0.2785101,0.419152,0,0,Cold,0,0.070521771,0
TOI-1470 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,7.32,Mass,2.18,2.527093,0.0285,0.3,87.42,,TOI-1470,M1.5 V,13.459,51.9503,3709.0,0.47,0.47,0.0,1.3,-1.425,4.77,1.8324296,3.3577982,1.5402744,0.70654788,0.00049834781,0.0297825,0.01995,0.03705,0.028830516,48.505343,660.57708,746.01801,Superterran,M,0.03758374,0.52343621,0.045102246,0.29056815,0,0,Hot,0,0.27249568,0
V1298 Tau b,Transit,K2,2019,203.41018,Mass,10.27,24.1396,0.1688,0.29,89.0,85.0,V1298 Tau,K1,10.115,108.199,5050.0,1.1,1.34,0.1,0.023,-0.02,4.25,4.4504212,19.806249,1.928554,0.1877852,0.0068298218,0.17589804,0.119848,0.217752,0.17062551,35.021205,609.64599,,Jovian,K,0.95499259,2.6385405,0.59957102,0.19692931,0,0,Hot,0,0.11439136,0
WASP-70 A b,Transit,SuperWASP,2014,187.512,Mass,13.047,3.7130203,0.04853,0.0,87.12,,WASP-70 A,G4,10.786,222.355,5763.0,1.11,1.22,-0.006,9.5,0.162,4.31,3.7910473,14.37204,1.1015589,0.084430056,0.0026834751,0.04853,0.04853,0.04853,0.04853,616.56578,1269.3885,,Jovian,G,1.4521116,3.253597,2.0470707,0.53903848,0,0,Hot,0,0.070202469,0
HAT-P-18 b,Transit,HATNet,2010,62.61,Mass,11.153,5.508023,0.0559,0.084,88.8,120.0,HAT-P-18,K2,12.597,161.4,4803.0,0.77,0.75,0.1,12.4,-0.569,4.57,2.3693324,5.6137362,0.50333867,0.045130339,0.0022189296,0.056097215,0.0512044,0.0605956,0.055949418,86.639115,776.16119,,Jovian,K,0.26977394,1.4023737,0.34826955,0.49883704,0,0,Hot,0,0.090927687,0
XO-4 b,Transit,Lowell Observatory,2010,451.3186,Mass,14.011,4.12508,0.05524,0.0,88.8,240.0,XO-4,F5 V,10.814,272.655,6397.0,1.1,1.45,-0.04,2.1,0.536,4.18,5.6755382,32.211734,2.2990317,0.16408763,0.0041058439,0.05524,0.05524,0.05524,0.05524,1125.8814,1475.6144,,Jovian,F,3.4355795,5.0045354,6.0654291,0.41788708,0,0,Hot,0,0.065191477,0
HATS-6 b,Transit,HATSouth,2015,101.38777,Mass,11.187,3.3252725,0.03623,0.0,88.21,,HATS-6,M1 V,15.044,169.318,3724.0,0.57,0.57,0.2,8.1,-1.1,4.68,3.0104815,9.062999,0.81013668,0.072417688,0.0020380922,0.03623,0.03623,0.03623,0.03623,60.515041,710.50239,,Jovian,M,0.079432823,0.76096339,0.049353233,0.42033668,0,0,Hot,0,0.095913301,0
K2-121 b,Transit,K2,2017,44.1,M-R relationship,7.52,5.1857539,0.0629,0.22,89.027,72.97,K2-121,,13.229,169.398,4690.0,0.69,0.67,-0.16,,-0.745,4.63,2.4216444,5.8643617,0.77983533,0.10370151,0.0019621265,0.06442218,0.049062,0.076738,0.06328673,46.609183,659.46748,,Neptunian,K,0.17988709,1.1451537,0.27651814,0.40766256,0,0,Hot,0,0.13300305,0
K2-107 b,Transit,K2,2017,266.9772,Mass,15.98,3.313959,0.0475,0.0,82.361,,K2-107,F9 IV,13.012,685.2,6061.0,1.3,1.81,0.14,4.25,0.464,4.04,4.0874147,16.706959,1.0454918,0.065425018,0.0028032111,0.0475,0.0475,0.0475,0.0475,1290.0685,1526.6972,,Jovian,F,2.9107171,4.6064225,3.6003892,0.49690204,0,0,Hot,0,0.057873065,0
WASP-13 b,Transit,SuperWASP,2009,114.4188,Mass,13.675,4.35301,0.05362,0.0,85.43,,WASP-13,,10.424,227.537,5950.0,0.72,1.37,0.0,5.0,0.436,4.06,2.8925777,8.3670055,0.61184684,0.044741999,0.0029051397,0.05362,0.05362,0.05362,0.05362,949.1752,1413.9573,,Jovian,G,2.7289778,4.4602969,2.4433934,0.41927342,0,0,Hot,0,0.066780801,0
TOI-2076 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,6.89,M-R relationship,2.518,10.35509,0.0682,,88.9,,TOI-2076,K,9.139,41.9091,5200.0,0.82,0.77,-0.09,0.34,-0.423,4.45,1.6541761,2.7362986,1.0866953,0.43157079,0.0013868774,0.0682,0.0682,0.0682,0.0682,81.176674,764.6409,,Neptunian,K,0.37757219,1.6590664,0.70344808,0.27973229,0,0,Hot,0,0.2456444,0
GJ 357 c,Radial Velocity,Multiple Observatories,2019,3.4,Msini,1.66,9.1247,0.061,,,,GJ 357,M2.5 V,10.91,9.44181,3505.0,0.34,0.34,-0.12,,-1.798,4.94,1.4311509,2.0481928,1.2338511,0.74328378,0.001314564,0.061,0.061,0.061,0.061,4.2789807,366.38256,413.77153,Superterran,M,0.015922087,0.34069343,0.028517873,0.32199127,0,0,Hot,0,0.52704265,0
Kepler-18 d,Transit,Kepler,2011,16.4,Mass,6.98,14.85888,0.1172,0.0,88.07,,Kepler-18,,13.771,433.047,5345.0,0.97,1.11,0.19,10.0,-0.031,4.31,1.5328308,2.3495702,0.33661464,0.048225593,0.003008871,0.1172,0.1172,0.1172,0.1172,67.786744,730.94703,,Neptunian,G,0.93110788,2.6053361,0.95441762,0.51977504,0,0,Hot,0,0.13274712,0
WASP-132 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,37.35,Mass,1.85,1.011534,0.0182,0.13,86.64,-53.0,WASP-132,K4,11.938,122.91,4714.0,0.78,0.75,0.18,3.2,-0.597,4.58,4.4932382,20.189189,10.913075,5.8989596,0.0005751413,0.01835379,0.015834,0.020566,0.018238662,770.11995,1337.683,1510.7028,Superterran,K,0.2529298,1.3578874,0.30017808,0.39974346,0,0,Hot,0,0.26387166,0
WASP-82 b,Transit,SuperWASP,2015,371.8611,Mass,18.159,2.70579,0.0447,0.0,87.9,,WASP-82,F5,10.073,275.664,6480.0,1.48,2.1,0.12,,0.794,3.96,4.5252691,20.47806,1.1277086,0.062101911,0.0028214073,0.0447,0.0447,0.0447,0.0447,3114.4758,1903.0314,,Jovian,F,6.2230029,6.7354058,7.7222821,0.52574082,0,0,Hot,0,0.051096828,0
WASP-36 b,Transit,SuperWASP,2011,750.39663,Mass,14.874,1.537366,0.02677,0.019,83.15,,WASP-36,,12.836,386.346,5959.0,1.08,0.99,-0.26,1.4,0.001,4.49,7.1028321,50.450224,3.3918397,0.22803817,0.0023266176,0.026774832,0.02626137,0.02727863,0.026771208,1398.8839,1557.8144,,Jovian,G,1.0023052,2.7031103,2.8405704,0.38819871,0,0,Hot,0,0.061641258,0
WASP-15 b,Transit,SuperWASP,2009,171.6282,Mass,15.805,3.7521,0.05165,0.0,85.96,240.0,WASP-15,F7,10.972,282.091,6300.0,1.18,1.48,-0.17,2.4,0.49,4.35,3.2953161,10.859108,0.68706788,0.043471552,0.0027170093,0.05165,0.05165,0.05165,0.05165,1158.4021,1486.1565,,Jovian,F,3.0902954,4.7463938,5.2559496,0.43740866,0,0,Hot,0,0.058540397,0
TOI-451 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,9.8,M-R relationship,3.1,9.192522,0.0823,0.0,89.61,0.0,TOI-451,,10.939,123.739,5550.0,0.95,0.88,,0.12,-0.189,4.56,1.7780018,3.1612903,1.0197711,0.32895841,0.0017920601,0.0823,0.0823,0.0823,0.0823,95.54332,796.434,,Neptunian,G,0.64714262,2.1720197,1.3479587,0.24698064,0,0,Hot,0,0.21854598,0
HAT-P-2 c,Radial Velocity,Multiple Observatories,2023,3400.764,Mass,12.4,8500.0,8.9620237,0.37,90.0,38.0,HAT-P-2,F8,8.72,127.774,6412.0,1.33,1.42,0.054,1.44,0.64,4.16,16.560651,274.25516,22.117351,1.7836574,0.77227771,9.5754742,5.6460749,12.277972,9.1227568,0.058500189,121.90925,,Jovian,F,4.3651583,5.6410996,6.6303983,0.41805729,0,0,Cold,0,0.12967859,0
TOI-451 d,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,15.6,M-R relationship,4.07,16.364988,0.1208,0.0,89.25,0.0,TOI-451,,10.939,123.739,5550.0,0.95,0.88,,0.12,-0.189,4.56,1.9577854,3.8329238,0.94175033,0.23138829,0.0030712784,0.1208,0.1208,0.1208,0.1208,44.347193,657.37963,,Neptunian,G,0.64714262,2.1720197,1.3479587,0.24698064,0,0,Hot,0,0.19987672,0
WASP-133 b,Transit,SuperWASP-South,2016,368.6828,Mass,13.563,2.176423,0.0345,0.17,87.0,,WASP-133,G4,12.891,559.084,5700.0,1.16,1.44,0.29,6.8,0.305,4.18,5.2137302,27.182983,2.0042014,0.14776977,0.0019547028,0.034998525,0.028635,0.040365,0.034625829,1720.7978,1631.735,,Jovian,G,2.0183664,3.835869,1.8642568,0.51736334,0,0,Hot,0,0.066760969,0
HAT-P-69 b,Transit,HATNet,2019,1137.8314,Mass,18.786,4.7869491,0.06555,0.0,87.19,,HAT-P-69,,9.774,341.263,7394.0,1.65,1.93,-0.069,1.27,1.0,4.11,7.7825478,60.568051,3.2241058,0.17162279,0.0057928098,0.06555,0.06555,0.06555,0.06555,2327.312,1769.3484,,Jovian,A,10.0,8.5381497,38.498005,0.43989947,0,0,Hot,0,0.049648215,0
WASP-24 b,Transit,SuperWASP,2010,394.1092,Mass,15.468,2.34121,0.03651,0.0,83.64,70.0,WASP-24,,11.219,322.114,6075.0,1.43,1.42,0.0,3.8,0.331,4.26,5.0476729,25.479002,1.6472073,0.10649129,0.0023766064,0.03651,0.03651,0.03651,0.03651,1607.5938,1613.035,,Jovian,F,2.1428906,3.9524262,3.8070858,0.50346287,0,0,Hot,0,0.059423299,0
WASP-41 c,Radial Velocity,La Silla Observatory,2015,1010.6994,Msini,13.1,421.0,1.07,0.294,,353.0,WASP-41,,11.632,163.371,5545.0,0.93,0.87,0.06,1.2,-0.195,4.53,8.7836568,77.152626,5.8895134,0.44958118,0.077687906,1.1162433,0.75542,1.38458,1.0819027,0.58326102,218.90496,,Jovian,G,0.63826349,2.1570676,1.3269843,0.35995595,1,1,Warm,0,0.36528976,0
HAT-P-2 b,Transit,HATNet,2007,2866.8122,Mass,12.663,5.6335158,0.06814,0.5172,86.16,188.01,HAT-P-2,F8,8.72,127.774,6380.0,1.33,1.39,0.18,1.44,0.53,4.16,15.046356,226.39282,17.878292,1.4118528,0.0042507984,0.077253583,0.032897992,0.10338201,0.070648162,852.68907,1300.3171,,Jovian,F,3.3884416,4.9700844,6.2757241,0.41805729,0,0,Hot,0,0.071564291,0
WASP-5 b,Transit,SuperWASP,2008,502.15,Mass,12.184,1.6284279,0.0267,0.038,86.9,34.38,WASP-5,G5,12.147,309.137,5700.0,0.96,1.03,0.09,5.4,0.067,4.4,6.4198043,41.213887,3.3826237,0.27762834,0.0020701048,0.026719277,0.0256854,0.0277146,0.026704822,1637.9146,1620.1487,,Jovian,G,1.1668096,2.916512,1.7502906,0.46742745,0,0,Hot,0,0.073399944,0
HATS-24 b,Transit,HATSouth,2017,718.2958,Mass,15.637,1.3484978,0.0238,0.0,85.97,90.0,HATS-24,F V,12.915,494.182,6125.0,1.07,1.12,-0.229,3.7,0.19,4.37,6.7775846,45.935653,2.9376257,0.18786376,0.0020845007,0.0238,0.0238,0.0238,0.0238,2734.2995,1842.0916,,Jovian,F,1.5488166,3.3601895,3.7662962,0.45504364,0,0,Hot,0,0.058575136,0
TOI-564 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,464.98529,Mass,11.433,1.651144,0.02734,0.072,78.38,94.0,TOI-564,,11.097,199.581,5640.0,1.0,1.09,0.143,7.3,0.033,4.36,6.377339,40.670453,3.5572862,0.31114197,0.0019661266,0.027410865,0.02537152,0.02930848,0.027357747,1447.2101,1569.6743,,Jovian,G,1.0789467,2.8045537,1.6004889,0.49824771,0,0,Hot,0,0.077668164,0
HAT-P-12 b,Transit,HATNet,2009,67.059,Mass,10.749,3.2130598,0.0384,0.0,89.0,354.3,HAT-P-12,K4,12.665,142.751,4650.0,0.73,0.7,-0.29,2.5,-0.678,4.61,2.4977243,6.2386268,0.58039137,0.053994918,0.001733117,0.0384,0.0384,0.0384,0.0384,142.34347,879.90158,,Jovian,K,0.20989399,1.2369831,0.26304911,0.37525152,0,0,Hot,0,0.088733732,0
TOI-481 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,486.2799,Mass,11.097,10.33111,0.097,0.153,89.2,64.8,TOI-481,G,9.972,179.366,5735.0,1.14,1.66,0.26,6.7,0.435,4.06,6.6197314,43.820843,3.948891,0.35585212,0.0061863461,0.098135337,0.082159,0.111841,0.097286039,292.81962,1049.1183,,Jovian,G,2.7227013,4.4551647,1.9683493,0.51310422,0,0,Hot,0,0.082638,0
Kepler-435 b,Transit,Kepler,2015,266.97,Mass,22.31,8.6001536,0.0948,0.114,85.51,104.0,Kepler-435,,13.704,1418.77,6161.0,1.54,3.21,-0.18,2.25,1.129,3.61,3.459246,11.966383,0.53636857,0.024041621,0.004684622,0.09541601,0.0839928,0.1056072,0.094954663,1507.3839,1583.4034,,Jovian,F,13.458604,9.9052117,4.5236296,0.47289222,0,0,Hot,0,0.042630862,0
K2-136 d,Transit,K2,2017,3.0,Mass,1.565,25.575,0.1538,0.071,89.4,280.0,K2-136,K5.5,11.101,59.2474,4500.0,0.74,0.68,-0.02,0.65,-0.777,4.68,1.3845335,1.9169329,1.2248773,0.78266917,0.0022788749,0.15418765,0.1428802,0.1647198,0.15389707,7.0824699,415.17819,468.87852,Terran,K,0.16710906,1.1037323,0.20421553,0.3011533,0,0,Hot,0,0.44553947,0
HD 149026 b,Radial Velocity,Subaru Telescope,2005,120.7754,Mass,8.295,2.87589,0.04364,0.0,84.55,109.0,HD 149026,G0,8.15,75.8643,6179.0,1.42,1.41,0.32,2.6,0.48,4.37,3.81576,14.560024,1.7552772,0.21160665,0.0019197,0.04364,0.04364,0.04364,0.04364,1585.7347,1607.5235,,Jovian,G,3.0199517,4.6920622,4.5412251,0.47150161,0,0,Hot,0,0.10182417,0
WASP-170 b,Transit,SuperWASP-South,2018,508.528,Mass,12.285,2.3447802,0.0337,,84.87,,WASP-170,,12.613,305.603,5600.0,0.93,0.94,0.22,,-0.114,4.47,6.4338341,41.394221,3.3694929,0.274277,0.0027565072,0.0337,0.0337,0.0337,0.0337,677.23625,1299.5254,,Jovian,G,0.76913044,2.3679022,1.458486,0.45031054,0,0,Hot,0,0.073802519,0
WASP-18 c,Transit Timing Variations,Transiting Exoplanet Survey Satellite (TESS),2019,55.2,Mass,8.58,2.1558,0.035,0.015,,272.0,WASP-18,F6 IV-V,9.28,123.483,6400.0,1.22,1.23,0.19,1.0,0.383,4.37,2.5364476,6.4335664,0.74983292,0.087393114,0.001228804,0.035003937,0.034475,0.035525,0.035000984,1972.0266,1697.4992,,Jovian,F,2.4154608,4.1962733,6.3108656,0.38224761,0,0,Hot,0,0.098883669,0
KPS-1 b,Transit,Acton Sky Portal Observatory,2018,346.4347,Mass,11.545,1.706291,0.0269,0.0,83.2,,KPS-1,K1 V,12.97,262.706,5165.0,0.89,0.91,0.22,,-0.353,4.47,5.4778953,30.007337,2.599163,0.22513322,0.0019646325,0.0269,0.0269,0.0269,0.0269,613.04936,1267.5747,,Jovian,K,0.44360864,1.7983067,0.68073274,0.44375963,0,0,Hot,0,0.078029026,0
HAT-P-9 b,Transit,HATNet,2008,238.05467,Mass,15.614,3.9228107,0.05287,0.084,86.44,152.0,HAT-P-9,F7,12.344,455.203,6350.0,1.28,1.34,0.12,1.6,0.418,4.29,3.9046424,15.246232,0.97644628,0.062536588,0.0027651091,0.053056525,0.04842892,0.05731108,0.05291674,939.98084,1408.6502,,Jovian,F,2.618183,4.3688161,5.8848186,0.42006338,0,0,Hot,0,0.059392693,0
TOI-216.01,Transit,Transiting Exoplanet Survey Satellite (TESS),2019,177.98391,Mass,10.1,34.525528,0.2069,0.0046,89.84,190.0,TOI-216,,12.324,177.945,5026.0,0.77,0.75,0.32,,-0.442,4.66,4.1978768,17.622169,1.7447692,0.17274943,0.012642706,0.20690219,0.20594826,0.20785174,0.20690055,8.4427439,434.22907,,Jovian,K,0.36140986,1.6231691,0.51085755,0.42284516,0,0,Hot,0,0.19583607,0
HATS-42 b,Transit,HATSouth,2018,597.5204,Mass,15.693,2.292102,0.03689,0.229,85.1,,HATS-42,,13.682,800.377,6060.0,1.27,1.48,0.22,3.26,0.425,4.2,6.170543,38.075601,2.4262793,0.15460901,0.0022127446,0.037857274,0.02844219,0.04533781,0.037136085,2008.5357,1688.3079,,Jovian,F,2.6607251,4.4041669,3.5663458,0.47173237,0,0,Hot,0,0.058526786,0
K2-116 b,Transit,K2,2017,0.257,M-R relationship,0.69,4.655411,0.048,0.06,89.09,-23.44,K2-116,,10.8,49.3855,4348.35,0.69,0.67,0.01,,-0.746,4.64,0.6102981,0.37246377,0.53980256,0.78232255,0.00032472497,0.0480864,0.04512,0.05088,0.048021626,78.037018,756.62603,854.49021,Subterran,K,0.17947336,1.143836,0.15374905,0.40766256,0,0,Hot,0,0.29868753,0
TOI-257 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,43.86032,Mass,7.163,18.38818,0.1528,0.0,87.91,,TOI-257,,7.57,76.9028,6095.0,1.41,1.87,0.175,,0.636,4.04,2.4745055,6.1231774,0.85483421,0.11934025,0.0048068381,0.1528,0.1528,0.1528,0.1528,185.2479,939.80561,,Neptunian,F,4.3251383,5.6151811,3.9217152,0.51731789,0,0,Hot,0,0.12004219,0
WASP-10 b,Transit,SuperWASP,2008,1001.12,Mass,12.106,3.0927616,0.03781,0.0473,88.49,165.6,WASP-10,K5 V,12.413,140.998,4675.0,0.75,0.7,0.05,7.0,-0.64,4.63,9.0937442,82.696184,6.8310081,0.56426632,0.0039672513,0.037852296,0.036021587,0.039598413,0.037820582,160.42536,906.2241,,Jovian,K,0.22908677,1.2923012,0.27707835,0.44953302,0,0,Hot,0,0.079821269,0
HD 219134 f,Radial Velocity,Multiple Observatories,2015,7.3,Mass,1.31,22.717,0.1463,0.148,,81.0,HD 219134,K3 V,5.56911,6.53127,4699.0,0.81,0.78,0.11,11.0,-0.577,4.57,2.3606184,5.5725191,4.2538314,3.2471995,0.0025946679,0.14790228,0.1246476,0.1679524,0.14670348,12.511823,477.12207,538.8344,Terran,K,0.26485001,1.3895167,0.29624476,0.49730019,0,0,Hot,0,0.39013041,0
WASP-76 b,Transit,SuperWASP,2016,292.4036,Mass,20.512,1.809886,0.033,0.0,88.0,,WASP-76,F7,9.518,194.459,6250.0,1.46,1.73,0.23,5.3,0.689,4.13,3.775612,14.255246,0.69497103,0.033881193,0.0019312677,0.033,0.033,0.033,0.033,4487.1658,2084.9361,,Jovian,F,4.8865236,5.9684803,5.1780819,0.53586464,0,0,Hot,0,0.045586607,0
K2-290 c,Transit,K2,2019,246.00042,Mass,11.276,48.36685,0.305,0.0,89.37,90.0,K2-290,,11.114,272.909,6302.0,1.19,1.51,-0.06,4.0,0.42,4.23,4.6707905,21.816284,1.9347538,0.17158157,0.018039094,0.305,0.305,0.305,0.305,28.274851,587.42143,,Jovian,F,2.630268,4.3788873,5.2888966,0.47762145,0,0,Hot,0,0.11435476,0
WASP-90 b,Transit,SuperWASP,2016,200.2329,Mass,18.271,3.916243,0.0562,0.0,82.1,,WASP-90,F6,11.618,466.433,6430.0,1.55,1.98,0.11,4.4,0.63,4.03,3.3104464,10.959055,0.59980599,0.032828307,0.0028417736,0.0562,0.0562,0.0562,0.0562,1350.6019,1544.2996,,Jovian,F,4.2657952,5.5765264,7.1966397,0.52996133,0,0,Hot,0,0.051251405,0
K2-284 b,Transit,K2,2018,8.15,M-R relationship,2.78,4.795069,0.04771,0.078,89.0,180.2,K2-284,,13.265,107.272,4140.0,0.63,0.61,0.0,0.12,-1.013,4.67,1.7122075,2.9316547,1.054552,0.37933527,0.0010329151,0.047855134,0.04398862,0.05143138,0.047746356,42.766758,650.69818,,Neptunian,K,0.097050997,0.84113124,0.10427717,0.21537827,0,0,Hot,0,0.24752379,0
LP 714-47 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,30.8,Mass,4.7,4.052037,0.0417,0.04,87.3,219.0,LP 714-47,M0.0 V,12.492,52.616,3950.0,0.59,0.58,0.41,,-1.125,4.64,2.5599202,6.5531915,1.3942961,0.29665874,0.001496553,0.04173336,0.040032,0.043368,0.041708344,43.15942,652.737,,Neptunian,M,0.074989421,0.7393733,0.073608955,0.38693243,0,0,Hot,0,0.18365733,0
NGTS-2 b,Transit,Paranal Observatory,2018,235.1942,Mass,17.878,4.511164,0.063,0.0,88.5,,NGTS-2,F5 V,10.789,356.391,6478.0,1.64,1.7,-0.06,2.17,0.631,4.2,3.6270525,13.15551,0.73584906,0.041159473,0.0032985271,0.063,0.063,0.063,0.063,1077.2559,1459.4171,,Jovian,F,4.2756289,5.5829503,7.9636862,0.48000903,0,0,Hot,0,0.052468776,0
WASP-73 b,Transit,SuperWASP,2014,908.9938,Mass,15.917,4.08722,0.05512,0.0,87.4,,WASP-73,F9,10.468,316.678,6030.0,2.52,2.55,0.14,4.3,0.795,3.93,7.5570075,57.108362,3.5878848,0.22541212,0.0039247734,0.05512,0.05512,0.05512,0.05512,2052.9652,1714.7275,,Jovian,F,6.2373484,6.7431647,4.2563649,0.62077816,0,0,Hot,0,0.057773416,0
WASP-81 b,Transit,Multiple Facilities,2017,231.69807,Mass,16.018,2.7164762,0.03908,0.066,88.69,,WASP-81,,12.469,398.505,5870.0,1.08,1.28,-0.36,,0.246,4.26,3.8032692,14.464856,0.90303761,0.056376427,0.0021856783,0.039165116,0.03650072,0.04165928,0.03910131,1156.2157,1484.2397,,Jovian,G,1.761976,3.583965,2.4378167,0.47332457,0,0,Hot,0,0.057844844,0
Kepler-105 b,Transit,Kepler,2013,5.1,Mass,4.81,5.4122,0.066,0.47,85.94,272.16,Kepler-105,,12.981,459.223,6397.0,1.28,1.58,-0.22,3.17,0.607,4.15,1.0297044,1.0602911,0.22043473,0.045828427,0.00055470037,0.0732897,0.03498,0.09702,0.067970252,1052.2417,1385.7672,,Neptunian,F,4.0457589,5.4307994,6.3797054,0.47076558,0,0,Hot,0,0.15553724,0
HATS-41 b,Transit,HATSouth,2018,3082.951,Mass,14.908,4.193649,0.0583,0.38,80.4,136.0,HATS-41,,12.678,737.668,6424.0,1.5,1.71,0.47,1.34,0.653,4.14,14.380488,206.79843,13.871641,0.93048306,0.0045969588,0.06250926,0.036146,0.080454,0.059405867,1430.6306,1522.0714,,Jovian,F,4.4977985,5.7261638,7.0454095,0.42997122,0,0,Hot,0,0.061498985,0
